,Equipe,PDV,Taille,Poids,Unit,Exp,Pays
Sam Merrill,MEM,G,1.93,93.0,kg,1,États-Unis
Chimezie Metu,SAC,F-C,2.06,102.1,kg,3,États-Unis
Khris Middleton,MIL,F,2.01,100.7,kg,9,États-Unis
Patty Mills,BKN,G,1.83,81.6,kg,12,Australie
Paul Millsap,BKN,F,2.01,116.6,kg,15,États-Unis
Shake Milton,PHI,G-F,1.96,93.0,kg,3,États-Unis
Davion Mitchell,SAC,G,1.83,91.6,kg,0,États-Unis
Donovan Mitchell,UTA,G,1.85,97.5,kg,4,États-Unis
Evan Mobley,CLE,C,2.11,97.5,kg,0,États-Unis
Malik Monk,LAL,G,1.90,90.7,kg,4,États-Unis
Moses Moody,GSW,G,1.96,95.7,kg,0,États-Unis
E'Twaun Moore,ORL,G,1.90,86.6,kg,10,États-Unis
Ja Morant,MEM,G,1.90,78.9,kg,2,États-Unis
Markieff Morris,MIA,F,2.06,111.1,kg,10,États-Unis
Monte Morris,DEN,G,1.88,83.0,kg,4,États-Unis
Marcus MorrisSr.,LAC,F,2.03,98.9,kg,10,États-Unis
Mychal Mulder,ORL,G,1.90,83.5,kg,2,Canada
Trey MurphyIII,NOP,F,2.03,93.4,kg,0,États-Unis
Dejounte Murray,SAS,G,1.93,81.6,kg,4,États-Unis
Jamal Murray,DEN,G,1.90,97.5,kg,5,Canada
Mike Muscala,OKC,F-C,2.08,108.9,kg,8,États-Unis
Svi Mykhailiuk,TOR,G-F,2.01,93.0,kg,3,Ukraine
Abdel Nader,PHX,F,1.96,102.1,kg,4,Egypt
Larry NanceJr.,POR,F-C,2.01,111.1,kg,6,États-Unis
RJ NembhardJr.,CLE,G,1.93,90.7,kg,0,États-Unis
Aaron Nesmith,BOS,G-F,1.96,97.5,kg,1,États-Unis
Raul Neto,WAS,G,1.88,81.6,kg,6,Brésil
Georges Niang,PHI,F,2.01,104.3,kg,5,États-Unis
Daishen Nix,HOU,G,1.93,102.5,kg,0,États-Unis
Zeke Nnaji,DEN,F-C,2.06,108.9,kg,1,États-Unis
Nerlens Noel,NYK,C-F,2.11,99.8,kg,7,États-Unis
Jaylen Nowell,MIN,G,1.93,91.2,kg,2,États-Unis
Frank Ntilikina,DAL,G,1.93,90.7,kg,4,France
Kendrick Nunn,LAL,G,1.88,86.2,kg,2,États-Unis
Jusuf Nurkic,POR,C,2.11,131.5,kg,7,Bosnia_and_Herzegovina
David Nwaba,HOU,G-F,1.96,99.3,kg,5,États-Unis
Jordan Nwora,MIL,F,2.03,102.1,kg,1,États-Unis
Royce O'Neale,UTA,F,1.96,102.5,kg,4,États-Unis
Semi Ojeleye,MIL,F,1.98,108.9,kg,4,États-Unis
Chuma Okeke,ORL,F,1.98,103.9,kg,1,États-Unis
Josh Okogie,MIN,G,1.93,96.6,kg,3,Nigéria
Onyeka Okongwu,ATL,F-C,2.03,108.9,kg,1,États-Unis
Isaac Okoro,CLE,F-G,1.96,102.1,kg,1,États-Unis
KZ Okpala,MIA,F-G,2.03,97.5,kg,2,États-Unis
Victor Oladipo,MIA,G,1.93,96.6,kg,8,États-Unis
Kelly Olynyk,DET,F-C,2.11,108.9,kg,8,Canada
Eugene Omoruyi,DAL,F,1.98,106.6,kg,0,Nigéria
Miye Oni,UTA,G-F,1.96,93.4,kg,2,États-Unis
